Event: 115150843, Run = 273554, Lumi = 132, met = 108.799
Event: 489922855, Run = 274969, Lumi = 270, met = 144.81
Event: 496985271, Run = 274199, Lumi = 257, met = 182.38
Event: 68657824, Run = 274345, Lumi = 44, met = 105.193
Event: 691595084, Run = 275073, Lumi = 386, met = 168.479
Event: 583488946, Run = 275337, Lumi = 306, met = 107.409
Event: 630447890, Run = 275124, Lumi = 402, met = 152.428
Event: 1667097125, Run = 275310, Lumi = 987, met = 184.998
Event: 1471325250, Run = 275310, Lumi = 858, met = 113.506
Event: 93892475, Run = 275772, Lumi = 50, met = 103.964
Event: 1014804901, Run = 275890, Lumi = 538, met = 139.588
Event: 460684459, Run = 276244, Lumi = 297, met = 117.446
Event: 1130309551, Run = 276244, Lumi = 754, met = 347.974
Event: 517180132, Run = 276384, Lumi = 342, met = 160.936
Event: 294414615, Run = 276808, Lumi = 147, met = 133.801
Event: 1067414470, Run = 276437, Lumi = 621, met = 101.024
Event: 224350882, Run = 276437, Lumi = 179, met = 110.47
Event: 2159413889, Run = 276437, Lumi = 1184, met = 124.132
Event: 55304938, Run = 276543, Lumi = 33, met = 132.545
Event: 2524985566, Run = 276363, Lumi = 1442, met = 133.321
Event: 1084249327, Run = 276437, Lumi = 630, met = 103.205
Event: 3774618040, Run = 276437, Lumi = 2129, met = 121.067
Event: 2898922726, Run = 276501, Lumi = 1746, met = 123.964
Event: 4135270215, Run = 276525, Lumi = 2414, met = 101.617
Event: 17419247, Run = 276527, Lumi = 13, met = 138.039
Event: 29140508, Run = 276583, Lumi = 18, met = 112.668
Event: 1022005258, Run = 276587, Lumi = 701, met = 131.941
Event: 778032887, Run = 276776, Lumi = 470, met = 105.597
Event: 2164171948, Run = 276776, Lumi = 1274, met = 116.981
Event: 30396043, Run = 276776, Lumi = 18, met = 157.802
Event: 210411289, Run = 276935, Lumi = 186, met = 100.679
Event: 239716868, Run = 276870, Lumi = 197, met = 117.175
Event: 4415242860, Run = 276831, Lumi = 2466, met = 153.012
Event: 903646403, Run = 277070, Lumi = 482, met = 125.766
Event: 169031229, Run = 276935, Lumi = 162, met = 108.007
Event: 4850425660, Run = 276870, Lumi = 2710, met = 257.332
Event: 2546089254, Run = 276870, Lumi = 1403, met = 132.905
Event: 537373599, Run = 276870, Lumi = 349, met = 106.488
Event: 577313088, Run = 276870, Lumi = 372, met = 173.366
Event: 2180998364, Run = 276870, Lumi = 1214, met = 100.146
Event: 287680243, Run = 277166, Lumi = 227, met = 300
Event: 229242437, Run = 276940, Lumi = 191, met = 102.561
Event: 1187958353, Run = 276935, Lumi = 736, met = 106.523
Event: 782116118, Run = 277087, Lumi = 731, met = 300
Event: 105207600, Run = 276950, Lumi = 68, met = 110.458
Event: 189003958, Run = 277071, Lumi = 100, met = 118.945
Event: 1012554832, Run = 277070, Lumi = 539, met = 111.459
Event: 270095087, Run = 277072, Lumi = 153, met = 127.634
Event: 1155160656, Run = 277087, Lumi = 1071, met = 117.863
Event: 2108063575, Run = 277168, Lumi = 1144, met = 109.968
Event: 144296202, Run = 277127, Lumi = 76, met = 100.443
Event: 1622609550, Run = 277168, Lumi = 879, met = 131.211
Event: 2076633687, Run = 277096, Lumi = 1184, met = 107.111
Event: 71464010, Run = 277305, Lumi = 101, met = 104.643
Event: 178646547, Run = 277168, Lumi = 100, met = 161.028
Event: 366254173, Run = 277420, Lumi = 266, met = 104.948
Event: 2858929172, Run = 277168, Lumi = 1570, met = 222.822
Event: 116246662, Run = 278239, Lumi = 118, met = 103.037
Event: 5242042, Run = 278289, Lumi = 4, met = 118.046
Event: 629892690, Run = 278017, Lumi = 442, met = 104.853
Event: 1827689904, Run = 278167, Lumi = 1011, met = 149.974
Event: 9641234, Run = 278310, Lumi = 7, met = 104.683
Event: 1134382791, Run = 278018, Lumi = 620, met = 104.383
Event: 83223643, Run = 278346, Lumi = 45, met = 300
Event: 458433901, Run = 278239, Lumi = 304, met = 115.723
Event: 276050916, Run = 278308, Lumi = 208, met = 102.83
Event: 1427987267, Run = 278509, Lumi = 875, met = 137.098
Event: 2586545277, Run = 278808, Lumi = 1467, met = 111.64
Event: 390265359, Run = 278803, Lumi = 219, met = 143.425
Event: 474300099, Run = 278923, Lumi = 299, met = 276.493
Event: 404593309, Run = 279654, Lumi = 213, met = 101.077
Event: 132698905, Run = 279844, Lumi = 142, met = 105.692
Event: 202962676, Run = 279760, Lumi = 171, met = 103.894
Event: 4479915, Run = 280016, Lumi = 4, met = 224.444
Event: 1041443516, Run = 279658, Lumi = 577, met = 311.551
Event: 145061633, Run = 278875, Lumi = 75, met = 136.662
Event: 998346253, Run = 280242, Lumi = 549, met = 103.758
Event: 414163408, Run = 278962, Lumi = 285, met = 118.697
Event: 679524730, Run = 279588, Lumi = 438, met = 104.651
Event: 197207345, Run = 279715, Lumi = 173, met = 100.64
Event: 40254729, Run = 280330, Lumi = 21, met = 109.726
Event: 835635610, Run = 279667, Lumi = 521, met = 111.027
Event: 464872209, Run = 279116, Lumi = 263, met = 103.208
Event: 90649684, Run = 279844, Lumi = 120, met = 100.588
Event: 788722618, Run = 279716, Lumi = 419, met = 133.688
Event: 491976879, Run = 279760, Lumi = 333, met = 142.501
Event: 538662883, Run = 279931, Lumi = 366, met = 107.079
Event: 1036058832, Run = 280385, Lumi = 555, met = 173.855
Event: 2904412258, Run = 279841, Lumi = 1658, met = 119.412
Event: 1700973971, Run = 279841, Lumi = 997, met = 107.096
Event: 100863722, Run = 279966, Lumi = 113, met = 126.062
Event: 1545884759, Run = 280191, Lumi = 829, met = 116.432
Event: 208154841, Run = 280188, Lumi = 116, met = 108.812
Event: 453452546, Run = 279966, Lumi = 317, met = 219.9
Event: 180140847, Run = 280024, Lumi = 125, met = 129.233
Event: 1884518164, Run = 280385, Lumi = 1008, met = 113.619
Event: 113636744, Run = 280188, Lumi = 66, met = 117.292
Event: 943051462, Run = 280242, Lumi = 522, met = 185.608
Event: 499333039, Run = 283270, Lumi = 342, met = 255.451
Event: 508575458, Run = 281693, Lumi = 269, met = 181.026
Event: 185595814, Run = 281707, Lumi = 210, met = 110.914
Event: 1500984390, Run = 281797, Lumi = 944, met = 114.514
Event: 59684191, Run = 281975, Lumi = 42, met = 109.146
Event: 2223258850, Run = 281976, Lumi = 1231, met = 101.02
Event: 378143662, Run = 282037, Lumi = 203, met = 116.412
Event: 2787603388, Run = 282037, Lumi = 1601, met = 147.187
Event: 40646672, Run = 282033, Lumi = 100, met = 101.754
Event: 176986759, Run = 282731, Lumi = 93, met = 107.745
Event: 190586246, Run = 282731, Lumi = 100, met = 102.588
Event: 24411171, Run = 282733, Lumi = 15, met = 100.965
Event: 175193143, Run = 283478, Lumi = 165, met = 110.119
Event: 1264284199, Run = 282735, Lumi = 637, met = 111.83
Event: 764678375, Run = 282735, Lumi = 380, met = 208.055
Event: 2430225879, Run = 282735, Lumi = 1312, met = 342.451
Event: 159658737, Run = 282800, Lumi = 91, met = 113.676
Event: 461023391, Run = 282919, Lumi = 236, met = 124.891
Event: 439290611, Run = 283308, Lumi = 225, met = 240.475
Event: 200402195, Run = 283043, Lumi = 114, met = 106.153
Event: 344632024, Run = 283043, Lumi = 192, met = 105.063
Event: 513508773, Run = 283270, Lumi = 350, met = 126.482
Event: 1143155489, Run = 283283, Lumi = 573, met = 165.154
Event: 420432392, Run = 283353, Lumi = 298, met = 104.521
Event: 725629322, Run = 283358, Lumi = 393, met = 119.418
Event: 304972357, Run = 283408, Lumi = 185, met = 107.967
Event: 246605701, Run = 283453, Lumi = 199, met = 300
Event: 2562352612, Run = 283820, Lumi = 1455, met = 116.806
Event: 647728072, Run = 283865, Lumi = 380, met = 101.456
Event: 485270709, Run = 283876, Lumi = 334, met = 118.317
Event: 390052670, Run = 283876, Lumi = 277, met = 103.921
Event: 2153667273, Run = 283877, Lumi = 1219, met = 187.113
Event: 500132468, Run = 283884, Lumi = 479, met = 138.54
Event: 183306980, Run = 283885, Lumi = 101, met = 105.707
Event: 163497810, Run = 283933, Lumi = 166, met = 100.977
Event: 206949179, Run = 283946, Lumi = 198, met = 100.759
Event: 2090862600, Run = 283946, Lumi = 1251, met = 165.432
Event: 1298101672, Run = 283946, Lumi = 831, met = 121.125
Event: 1718205153, Run = 283946, Lumi = 1055, met = 106.761
Event: 25666251, Run = 284025, Lumi = 116, met = 129.883
Event: 5890722, Run = 278804, Lumi = 4, met = 185.143
Event: 570718768, Run = 278803, Lumi = 316, met = 115.228
