Electron + Photon:

Event: 1757750395, Run = 274422, Lumi = 1012, met = 203.729, phoEt = 63.0114, HT = 346.355
Event: 120364720, Run = 273554, Lumi = 135, met = 195.513, phoEt = 58.8232, HT = 711.256
Event: 435144104, Run = 274387, Lumi = 273, met = 172.303, phoEt = 365.879, HT = 0
Event: 316828761, Run = 275124, Lumi = 240, met = 279.234, phoEt = 168.119, HT = 307.577
Event: 10724668, Run = 274284, Lumi = 5, met = 525.117, phoEt = 56.4115, HT = 556.954
Event: 348484356, Run = 273492, Lumi = 314, met = 186.144, phoEt = 115.761, HT = 213.148
Event: 912081782, Run = 273502, Lumi = 752, met = 128.756, phoEt = 56.8157, HT = 48.6303
Event: 146335553, Run = 274319, Lumi = 104, met = 217.346, phoEt = 283.2, HT = 138.881
Event: 62099934, Run = 275068, Lumi = 31, met = 123.107, phoEt = 73.4246, HT = 100.969
Event: 1123213145, Run = 275068, Lumi = 598, met = 120.059, phoEt = 57.4228, HT = 72.8798
Event: 828281817, Run = 273450, Lumi = 609, met = 180.375, phoEt = 49.7934, HT = 197.506
Event: 1095803935, Run = 275068, Lumi = 582, met = 199.009, phoEt = 42.5826, HT = 563.075
Event: 572129554, Run = 274338, Lumi = 318, met = 150.763, phoEt = 65.4786, HT = 989.651
Event: 66007946, Run = 274319, Lumi = 47, met = 123.168, phoEt = 57.8951, HT = 235.823
Event: 757360202, Run = 274338, Lumi = 424, met = 145.29, phoEt = 87.0878, HT = 0
Event: 570724698, Run = 274998, Lumi = 329, met = 121.343, phoEt = 41.4326, HT = 309.517
Event: 117228615, Run = 274971, Lumi = 79, met = 150.138, phoEt = 73.1909, HT = 228.408
Event: 685975451, Run = 273730, Lumi = 630, met = 137.223, phoEt = 39.2532, HT = 0
Event: 708943627, Run = 275376, Lumi = 409, met = 211.353, phoEt = 62.4776, HT = 127.839
Event: 1403925484, Run = 273730, Lumi = 1380, met = 163.917, phoEt = 62.3665, HT = 226.459
Event: 1744176038, Run = 274335, Lumi = 947, met = 211.18, phoEt = 72.2888, HT = 0
Event: 894531358, Run = 274199, Lumi = 483, met = 199.484, phoEt = 46.6073, HT = 544.003
Event: 157395642, Run = 273730, Lumi = 141, met = 138.627, phoEt = 108.396, HT = 215.366
Event: 1742711810, Run = 273730, Lumi = 1642, met = 631.137, phoEt = 374.747, HT = 268.252
Event: 57371336, Run = 274339, Lumi = 36, met = 148.105, phoEt = 52.6082, HT = 66.6299
Event: 192796117, Run = 274198, Lumi = 120, met = 393.254, phoEt = 39.88, HT = 0
Event: 213605080, Run = 274335, Lumi = 139, met = 124.942, phoEt = 43.5262, HT = 432.248
Event: 963409452, Run = 274241, Lumi = 571, met = 212.647, phoEt = 174.758, HT = 198.897
Event: 196696464, Run = 274286, Lumi = 101, met = 132.954, phoEt = 209.112, HT = 70.0245
Event: 499331651, Run = 275345, Lumi = 245, met = 133.568, phoEt = 52.9397, HT = 200.009
Event: 1967868280, Run = 274968, Lumi = 1050, met = 148.933, phoEt = 199.686, HT = 150.965
Event: 1368455017, Run = 274388, Lumi = 757, met = 218.374, phoEt = 64.9696, HT = 1645.21
Event: 36010927, Run = 274284, Lumi = 22, met = 124.982, phoEt = 35.0618, HT = 328.447
Event: 466214936, Run = 274344, Lumi = 304, met = 146.914, phoEt = 220.791, HT = 535.861
Event: 1537472853, Run = 274335, Lumi = 825, met = 151.118, phoEt = 82.0804, HT = 205.985
Event: 539810553, Run = 274335, Lumi = 295, met = 120.887, phoEt = 112.911, HT = 182.267
Event: 381106675, Run = 275291, Lumi = 225, met = 145.817, phoEt = 47.7547, HT = 42.8446
Event: 348097788, Run = 274344, Lumi = 227, met = 160.86, phoEt = 46.9156, HT = 132.758
Event: 531309635, Run = 274388, Lumi = 276, met = 149.897, phoEt = 46.2127, HT = 216.927
Event: 1805312733, Run = 275001, Lumi = 1316, met = 205.42, phoEt = 142.535, HT = 36.0934
Event: 256632045, Run = 274344, Lumi = 168, met = 164.862, phoEt = 118.899, HT = 0
Event: 2413580943, Run = 274422, Lumi = 1414, met = 123.892, phoEt = 62.539, HT = 172.824
Event: 759555229, Run = 274387, Lumi = 428, met = 137.819, phoEt = 60.805, HT = 272.481
Event: 1002408665, Run = 274442, Lumi = 576, met = 150.544, phoEt = 363.439, HT = 490.694
Event: 73457845, Run = 274421, Lumi = 38, met = 129.438, phoEt = 89.3841, HT = 503.578
Event: 272426810, Run = 274420, Lumi = 210, met = 140.301, phoEt = 224.03, HT = 130.763
Event: 914491645, Run = 274388, Lumi = 489, met = 144.364, phoEt = 57.353, HT = 193.995
Event: 1094468135, Run = 274388, Lumi = 594, met = 129.904, phoEt = 49.488, HT = 134.031
Event: 537528998, Run = 274388, Lumi = 279, met = 139.162, phoEt = 61.7667, HT = 175.823
Event: 682684364, Run = 275067, Lumi = 362, met = 130.207, phoEt = 97.4788, HT = 158.754
Event: 390696723, Run = 274998, Lumi = 243, met = 174.014, phoEt = 56.7649, HT = 164.762
Event: 1935297659, Run = 274388, Lumi = 1060, met = 135.81, phoEt = 232.885, HT = 1293.19
Event: 2553519393, Run = 274422, Lumi = 1502, met = 132.688, phoEt = 145.043, HT = 0
Event: 1034108083, Run = 275068, Lumi = 546, met = 132.66, phoEt = 58.3165, HT = 241.011
Event: 629239387, Run = 275124, Lumi = 401, met = 151.381, phoEt = 234.674, HT = 30.985
Event: 282817520, Run = 275001, Lumi = 187, met = 135.372, phoEt = 76.0125, HT = 93.5698
Event: 513329238, Run = 275124, Lumi = 346, met = 126.085, phoEt = 51.3303, HT = 78.6789
Event: 147073152, Run = 274441, Lumi = 88, met = 128.728, phoEt = 38.7333, HT = 1350.14
Event: 758028737, Run = 274969, Lumi = 413, met = 148.019, phoEt = 40.194, HT = 149.947
Event: 1727228833, Run = 274999, Lumi = 964, met = 157.647, phoEt = 40.3489, HT = 241.06
Event: 627148252, Run = 275001, Lumi = 425, met = 156.805, phoEt = 100.6, HT = 0
Event: 79869572, Run = 274998, Lumi = 89, met = 120.875, phoEt = 51.0273, HT = 139.739
Event: 841551557, Run = 274998, Lumi = 466, met = 121.679, phoEt = 41.411, HT = 0
Event: 140547193, Run = 275125, Lumi = 71, met = 137.143, phoEt = 118.357, HT = 535.934
Event: 88723640, Run = 275001, Lumi = 58, met = 120.422, phoEt = 103.678, HT = 270.061
Event: 67525210, Run = 274970, Lumi = 34, met = 129.726, phoEt = 61.8783, HT = 219.22
Event: 658653702, Run = 274998, Lumi = 372, met = 124.458, phoEt = 45.7409, HT = 222.448
Event: 1538873155, Run = 275125, Lumi = 852, met = 262.277, phoEt = 186.54, HT = 469.932
Event: 721393001, Run = 274998, Lumi = 404, met = 127.326, phoEt = 51.8731, HT = 253.122
Event: 1421759979, Run = 274998, Lumi = 778, met = 273.027, phoEt = 104.173, HT = 0
Event: 226780019, Run = 275293, Lumi = 138, met = 241.721, phoEt = 47.5533, HT = 55.9265
Event: 1918497489, Run = 275375, Lumi = 1122, met = 265.936, phoEt = 97.4533, HT = 0
Event: 1725245816, Run = 275125, Lumi = 954, met = 166.749, phoEt = 67.5827, HT = 164.469
Event: 2516216060, Run = 275310, Lumi = 1597, met = 133.928, phoEt = 61.841, HT = 448.974
Event: 2677777875, Run = 275310, Lumi = 1722, met = 173.877, phoEt = 142.703, HT = 245.97
Event: 1047902553, Run = 275125, Lumi = 570, met = 198.811, phoEt = 44.2867, HT = 173.098
Event: 109664108, Run = 275074, Lumi = 68, met = 164.032, phoEt = 71.6083, HT = 64.7227
Event: 663960323, Run = 275068, Lumi = 341, met = 224.846, phoEt = 90.281, HT = 583.585
Event: 339375336, Run = 275309, Lumi = 229, met = 144.372, phoEt = 50.3341, HT = 290.519
Event: 225406019, Run = 275124, Lumi = 188, met = 196.785, phoEt = 208.559, HT = 309.987
Event: 1132909185, Run = 275068, Lumi = 604, met = 146.126, phoEt = 36.1128, HT = 73.9706
Event: 898224171, Run = 275073, Lumi = 507, met = 122.741, phoEt = 144.226, HT = 0
Event: 433873772, Run = 275291, Lumi = 257, met = 373.731, phoEt = 77.5188, HT = 168.377
Event: 2055263573, Run = 275001, Lumi = 1523, met = 209.372, phoEt = 109.395, HT = 698.638
Event: 1269983120, Run = 275068, Lumi = 685, met = 161.286, phoEt = 183.689, HT = 207.736
Event: 475789795, Run = 275074, Lumi = 296, met = 146.103, phoEt = 88.8818, HT = 153.137
Event: 1085705864, Run = 275311, Lumi = 907, met = 230.019, phoEt = 263.153, HT = 44.7646
Event: 532870591, Run = 275309, Lumi = 344, met = 266.526, phoEt = 35.3397, HT = 129.551
Event: 610867385, Run = 275337, Lumi = 321, met = 127.545, phoEt = 58.86, HT = 451.095
Event: 433595045, Run = 275125, Lumi = 223, met = 131.642, phoEt = 126.03, HT = 38.5079
Event: 44895070, Run = 275282, Lumi = 99, met = 125.475, phoEt = 78.4398, HT = 138.018
Event: 137405757, Run = 275291, Lumi = 80, met = 180.983, phoEt = 61.4201, HT = 292.158
Event: 57282851, Run = 275283, Lumi = 27, met = 296.284, phoEt = 119.752, HT = 358.174
Event: 1569785753, Run = 275125, Lumi = 868, met = 128.777, phoEt = 71.5073, HT = 428.669
Event: 515561522, Run = 275338, Lumi = 300, met = 124.652, phoEt = 190.889, HT = 265.031
Event: 345813605, Run = 275337, Lumi = 177, met = 122.899, phoEt = 278.649, HT = 428.423
Event: 487382891, Run = 275338, Lumi = 285, met = 157.645, phoEt = 35.6391, HT = 138.415
Event: 13721137, Run = 275338, Lumi = 8, met = 122.672, phoEt = 58.2001, HT = 351.748
Event: 2110490583, Run = 275376, Lumi = 1338, met = 227.768, phoEt = 88.7002, HT = 461.623
Event: 902193980, Run = 275338, Lumi = 507, met = 202.97, phoEt = 67.4772, HT = 792.264
Event: 432718278, Run = 275376, Lumi = 245, met = 219.424, phoEt = 162.63, HT = 102.22
Event: 283184356, Run = 275344, Lumi = 213, met = 138.943, phoEt = 69.3033, HT = 722.451
Event: 530515664, Run = 275371, Lumi = 269, met = 301.044, phoEt = 75.5787, HT = 1137.83
Event: 461246938, Run = 276097, Lumi = 239, met = 202.745, phoEt = 115.018, HT = 225.519
Event: 336388002, Run = 275774, Lumi = 188, met = 367.91, phoEt = 76.4337, HT = 0
Event: 496925921, Run = 275774, Lumi = 270, met = 123.034, phoEt = 219.742, HT = 109.877
Event: 10090890, Run = 275658, Lumi = 5, met = 201.906, phoEt = 48.3018, HT = 439.85
Event: 1579632371, Run = 276282, Lumi = 897, met = 324.521, phoEt = 84.5248, HT = 413.575
Event: 162971374, Run = 275657, Lumi = 88, met = 186.745, phoEt = 65.7612, HT = 361.606
Event: 88105942, Run = 275774, Lumi = 50, met = 169.283, phoEt = 55.5552, HT = 98.5101
Event: 305847864, Run = 275918, Lumi = 177, met = 124.384, phoEt = 85.9218, HT = 125.43
Event: 152601627, Run = 275836, Lumi = 76, met = 140.688, phoEt = 65.3597, HT = 545.487
Event: 1665263593, Run = 275847, Lumi = 1314, met = 149.535, phoEt = 98.8668, HT = 192.369
Event: 1511053165, Run = 275890, Lumi = 781, met = 120.25, phoEt = 35.0386, HT = 0
Event: 552992968, Run = 275777, Lumi = 287, met = 122.205, phoEt = 41.389, HT = 342.263
Event: 18121912, Run = 275776, Lumi = 10, met = 198.325, phoEt = 162.551, HT = 379.144
Event: 562489511, Run = 275847, Lumi = 425, met = 138.56, phoEt = 99.0749, HT = 249.238
Event: 1133982535, Run = 276244, Lumi = 756, met = 205.827, phoEt = 234.207, HT = 304.56
Event: 386201206, Run = 275833, Lumi = 204, met = 451.919, phoEt = 399.861, HT = 475.732
Event: 1440449317, Run = 275836, Lumi = 802, met = 177.115, phoEt = 56.822, HT = 180.757
Event: 1269074326, Run = 276282, Lumi = 725, met = 127.789, phoEt = 58.5521, HT = 154.158
Event: 121632858, Run = 275890, Lumi = 62, met = 138.464, phoEt = 44.7324, HT = 214.118
Event: 378670029, Run = 275834, Lumi = 209, met = 127.48, phoEt = 47.6405, HT = 57.4679
Event: 600928024, Run = 275836, Lumi = 312, met = 133.919, phoEt = 228.831, HT = 202.707
Event: 370492294, Run = 275847, Lumi = 276, met = 186.542, phoEt = 56.7702, HT = 195.842
Event: 165408867, Run = 275890, Lumi = 84, met = 134.216, phoEt = 113.348, HT = 41.0978
Event: 405733716, Run = 275837, Lumi = 249, met = 152.866, phoEt = 39.0287, HT = 185.183
Event: 532911311, Run = 275847, Lumi = 402, met = 272.476, phoEt = 182.165, HT = 0
Event: 299959591, Run = 275911, Lumi = 223, met = 152.666, phoEt = 101.215, HT = 0
Event: 1173120488, Run = 275890, Lumi = 612, met = 159.22, phoEt = 64.5899, HT = 200.474
